ShareClass ISIN,isin,name,Constituent Country,Constituent Currency ISO Code,weight_percentage,Constituent Rating,Constituent Main Exchange Name,Constituent Industry Classification Name,ticker
IE00BL25JP72,CA5503721063,LUNDIN MINING CORP,Chile,CAD,0.037745310000000004,,Toronto Stock Exchange,Material,
IE00BL25JP72,JP3249600002,KYOCERA CORP,Japan,JPY,0.03769488,,Tokyo Stock Exchange,Informationstechnologie,
IE00BL25JP72,CH0025751329,LOGITECH INTERNATIONAL SA,Schweiz,CHF,0.03732902,,Scoach Switzerland,Informationstechnologie,
IE00BL25JP72,HK0011000095,HANG SENG BANK LTD,Hong Kong,HKD,0.03724583,,,Finanzen,
IE00BL25JP72,PTBCP0AM0015,BANCO COMERCIAL PORTUGUES SA,Portugal,EUR,0.03590749,,Euronext Lisbon,Finanzen,
IE00BL25JP72,DE000HAG0005,HENSOLDT AG,Deutschland,EUR,0.03384566,,,Industrieunternehmen,
IE00BL25JP72,US45337C1027,INCYTE CORP,Vereinigte Staaten von Amerika,USD,0.033339680000000003,,NASDAQ National Market System,Gesundheitswesen,
IE00BL25JP72,JP3379550001,JX ADVANCED METALS CORP,Japan,JPY,0.03309183,,Tokyo Stock Exchange,Material,
IE00BL25JP72,JP3979200007,LASERTEC CORP,Japan,JPY,0.0330139,,Tokyo Stock Exchange,Informationstechnologie,
IE00BL25JP72,JP3104890003,TIS INC,Japan,JPY,0.03234395,,Tokyo Stock Exchange,Informationstechnologie,
IE00BL25JP72,AU000000SGP0,STOCKLAND STAPLED UNITS LTD,Australien,AUD,0.03233792,A3,Australian Stock Exchange,Immobilien,
IE00BL25JP72,CA7751092007,ROGERS COMMUNICATIONS NON-VOTING I,Kanada,CAD,0.031523869999999996,Baa1,Toronto Stock Exchange,Kommunikationsdienste,
IE00BL25JP72,JP3166000004,EBARA CORP,Japan,JPY,0.03141155,,Tokyo Stock Exchange,Industrieunternehmen,
IE00BL25JP72,NL0014332678,JDE PEETS NV,Niederlande,EUR,0.03139806,,Euronext Amsterdam,BasiskonsumgÃ¼ter,
IE00BL25JP72,GB00BMJ6DW54,INFORMA PLC,GroÃbritannien (UK),GBP,0.03117266,,London Stock Exchange,Kommunikationsdienste,
IE00BL25JP72,JP3343200006,SANRIO LTD,Japan,JPY,0.03069929,,Tokyo Stock Exchange,Nicht-BasiskonsumgÃ¼ter,
IE00BL25JP72,NO0010582521,GJENSIDIGE FORSIKRING,Norwegen,NOK,0.03006516,A2,Oslo Stock Exchange,Finanzen,
IE00BL25JP72,JP3102000001,AISIN CORP,Japan,JPY,0.0298118,A1,Tokyo Stock Exchange,Nicht-BasiskonsumgÃ¼ter,
IE00BL25JP72,CA8911021050,TOROMONT INDUSTRIES LTD,Kanada,CAD,0.029412140000000003,,Toronto Stock Exchange,Industrieunternehmen,
IE00BL25JP72,GB0009223206,SMITH AND NEPHEW PLC,GroÃbritannien (UK),GBP,0.02938293,,London Stock Exchange,Gesundheitswesen,
IE00BL25JP72,FI0009014575,METSO CORPORATION,Finnland,EUR,0.02935745,,Helsinki Stock Exchange,Industrieunternehmen,
IE00BL25JP72,US00766T1007,AECOM,Vereinigte Staaten von Amerika,USD,0.02848635,,New York Stock Exchange,Industrieunternehmen,
IE00BL25JP72,GB00BGXQNP29,PHOENIX GROUP HOLDINGS PLC,GroÃbritannien (UK),GBP,0.0283946,,,Finanzen,
IE00BL25JP72,JP3869010003,MATSUKIYOKARA,Japan,JPY,0.028016430000000002,,Tokyo Stock Exchange,BasiskonsumgÃ¼ter,
IE00BL25JP72,IT0004776628,BANCA MEDIOLANUM,Italien,EUR,0.02777105,,Milan Stock Exchange,Finanzen,
IE00BL25JP72,JP3820000002,FUJI ELECTRIC LTD,Japan,JPY,0.02770653,,Tokyo Stock Exchange,Industrieunternehmen,
IE00BL25JP72,ES0125220311,ACCIONA SA,Spanien,EUR,0.02672363,,Mercado Continuo Espana,Versorgungsunternehmen,
IE00BL25JP72,NL0012866412,BE SEMICONDUCTOR INDUSTRIES NV,Niederlande,EUR,0.02345964,,Euronext Amsterdam,Informationstechnologie,
IE00BL25JP72,IL0010845571,NOVA LTD,Israel,ILS,0.02310963,,NASDAQ National Market System,Informationstechnologie,
IE00BL25JP72,GB00BL6K5J42,ENDEAVOUR MINING,GroÃbritannien (UK),GBP,0.023021569999999998,,,Material,
IE00BL25JP72,_CURRENCYEUR,EURO CURRENCY,,EUR,0.02289423,,,unbekannt,
IE00BL25JP72,JP3233250004,JAPAN POST INSURANCE CO LTD,Japan,JPY,0.02278641,,Tokyo Stock Exchange,Finanzen,
IE00BL25JP72,JP3783420007,HIKARI TSUSHIN INC,Japan,JPY,0.02275512,,Tokyo Stock Exchange,Industrieunternehmen,
IE00BL25JP72,DE0006070006,HOCHTIEF AG,Deutschland,EUR,0.022553570000000002,,XETRA,Industrieunternehmen,
IE00BL25JP72,AU000000QAN2,QANTAS AIRWAYS LTD,Australien,AUD,0.0220634,Ba2,Australian Stock Exchange,Industrieunternehmen,
IE00BL25JP72,AU000000LYC6,LYNAS RARE EARTHS LTD,Australien,AUD,0.02198814,,,Material,
IE00BL25JP72,FI0009013296,NESTE OYJ,Finnland,EUR,0.021307140000000002,,Helsinki Stock Exchange,Energie,
IE00BL25JP72,FI0009007132,FORTUM,Finnland,EUR,0.02023476,A2,Helsinki Stock Exchange,Versorgungsunternehmen,
IE00BL25JP72,CH0130293662,BKW N AG,Schweiz,CHF,0.01809592,,Scoach Switzerland,Versorgungsunternehmen,
IE00BL25JP72,CA6837151068,OPEN TEXT CORP,Kanada,CAD,0.01776345,Ba1,Toronto Stock Exchange,Informationstechnologie,
IE00BL25JP72,DE0005439004,CONTINENTAL AG,Deutschland,EUR,0.01736777,Baa3,XETRA,Nicht-BasiskonsumgÃ¼ter,
IE00BL25JP72,GB00BKFB1C65,M&G PLC,GroÃbritannien (UK),GBP,0.01716159,,,Finanzen,
IE00BL25JP72,JP3955000009,YOKOGAWA ELECTRIC CORP,Japan,JPY,0.01696845,,Tokyo Stock Exchange,Informationstechnologie,
IE00BL25JP72,JP3417200007,SEIBU HOLDINGS INC,Japan,JPY,0.01671688,,Tokyo Stock Exchange,Industrieunternehmen,
IE00BL25JP72,AT0000606306,RAIFFEISEN BANK INTERNATIONAL AG,Ãsterreich,EUR,0.015450789999999999,A2,Vienna Stock Exchange,Finanzen,
IE00BL25JP72,CA8029121057,SAPUTO INC,Kanada,CAD,0.015294120000000001,B1,Toronto Stock Exchange,BasiskonsumgÃ¼ter,
IE00BL25JP72,SG1U76934819,YANGZIJIANG SHIPBUILDING (HOLDINGS,China,SGD,0.01457291,,,Industrieunternehmen,
IE00BL25JP72,JP3494600004,SCREEN HOLDINGS LTD,Japan,JPY,0.01419084,,Tokyo Stock Exchange,Informationstechnologie,
